[Thu May 04 23:52:34.099600 2017] [core:info] [pid 13774] [client 10.240.0.119:32916] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:34.203309 2017] [core:info] [pid 13775] [client 10.240.0.119:32918] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:34.306318 2017] [core:info] [pid 13813] [client 10.240.0.119:32920] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:34.414006 2017] [core:info] [pid 13776] [client 10.240.0.119:32922] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:45.387618 2017] [core:info] [pid 13777] [client 10.240.0.207:36362] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:45.491652 2017] [core:info] [pid 13775] [client 10.240.0.207:36364] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:45.491802 2017] [core:info] [pid 13813] [client 10.240.0.206:33386] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:45.503111 2017] [core:info] [pid 13776] [client 10.240.0.182:51026] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:45.665259 2017] [core:info] [pid 13774] [client 10.240.0.182:51028] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:45.738551 2017] [core:info] [pid 13777] [client 10.240.0.207:36376] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:45.804795 2017] [core:info] [pid 13775] [client 10.240.1.17:36528] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:52:45.804936 2017] [core:info] [pid 13813] [client 10.240.0.206:33390] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
